features,n_features,scaler,model,seq_length,mse,rmse,mae,r2,mape
"('UNRATE',)",1,MinMax,LSTM,50,0.004121344280696524,0.0641976968488475,0.04911764572976328,0.936212871239854,31.642443611842687
"('UNRATE',)",1,MinMax,GRU,50,0.0503182279407288,0.22431724842447762,0.1799344173193159,0.2212115596187949,100.28550271406425
"('UNRATE',)",1,MinMax,CNN,50,0.011140337268591769,0.10554779613327683,0.08317935456199232,0.8275780717686073,40.62259047151371
"('UNRATE',)",1,MinMax,RNN,50,0.05005898236305441,0.22373864745066824,0.16916514929091178,0.2252239715692036,104.49822294468451
"('UNRATE',)",1,MinMax,ANN,50,0.014266583578802127,0.11944280463385866,0.08324119860525829,0.7791923358670152,48.04142272873256
"('UNRATE',)",1,MinMax,RANDOM_FOREST,N/A,0.0008327867055427383,0.028858044035290027,0.015619145599512808,0.9871107412537701,11.602447862036232
"('UNRATE',)",1,MinMax,XGBOOST,N/A,0.0022091462562696504,0.04700155589200905,0.018044679986059926,0.9658084627002208,12.617863380242117
"('UNRATE',)",1,Standard,LSTM,50,0.012241003856141599,0.11063907020642211,0.0811110470783845,0.9871586877603236,92.1449948626768
"('UNRATE',)",1,Standard,GRU,50,0.046182248538821934,0.21490055499886904,0.16664127603090656,0.9515529379463589,147.00033381110217
"('UNRATE',)",1,Standard,CNN,50,0.03014769669804239,0.17363092091572396,0.1339471077241187,0.9683738367248051,85.6418960864002
"('UNRATE',)",1,Standard,RNN,50,0.07825542850419102,0.2797417174898857,0.231223541307749,0.9179068642015167,199.6641520393409
"('UNRATE',)",1,Standard,ANN,50,0.025033682874055878,0.1582203617555461,0.12189701678801407,0.973738645778344,121.90822059097172
"('UNRATE',)",1,Standard,RANDOM_FOREST,N/A,0.01297586334833794,0.11391164711449808,0.06260950698038495,0.9863877901850525,26.88242006802064
"('UNRATE',)",1,Standard,XGBOOST,N/A,0.03183620428008967,0.17842702788560277,0.06805760185314028,0.9666025234130091,32.77716807727033
"('USOIL',)",1,MinMax,LSTM,50,0.006874644474906581,0.08291347583418862,0.0626476982306681,0.8935993204074225,29.697071488559246
"('USOIL',)",1,MinMax,GRU,50,0.05692206956354104,0.23858346456437637,0.17213713846311215,0.11900216695074428,89.509590129132
"('USOIL',)",1,MinMax,CNN,50,0.012365318342949256,0.11119945297954148,0.08642165542638591,0.8086187176848525,45.33418465269133
"('USOIL',)",1,MinMax,RNN,50,0.011235454256052864,0.105997425704839,0.08180169691058814,0.8261059211514226,35.43539670824279
"('USOIL',)",1,MinMax,ANN,50,0.009738273661967382,0.09868269180543963,0.07729847935428358,0.8492781787517953,35.26821459078999
"('USOIL',)",1,MinMax,RANDOM_FOREST,N/A,0.0005754804015150012,0.02398917258921202,0.008541013331504005,0.9910931385561961,2.8473847209123546
"('USOIL',)",1,MinMax,XGBOOST,N/A,0.0010485748465802907,0.03238170543038601,0.010650960314140659,0.9837709314733193,3.415696503646595
"('USOIL',)",1,Standard,LSTM,50,0.1713544840320276,0.41394985690543196,0.31083849385567686,0.8202421583243018,179.5569513580326
