leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,mse,rmse,mae,r2,mape
"('USM2', 'USOIL')",2,MinMax,RANDOM_FOREST,N/A,Kalman,0.0052719009475211175,0.07260785734010554,0.06516516844965771,-0.8800602285693115,28.307845603714675
"('USM2', 'USOIL')",2,MinMax,XGBOOST,N/A,Kalman,0.005265486450763444,0.07256367170122695,0.06512312263764623,-0.8777726969255202,28.288170182774337
"('USM2', 'USOIL')",2,Standard,LSTM,50,Kalman,0.07529636504842521,0.2744018313503487,0.19883278565276993,-0.6607700387284574,45.54237178826023
"('USM2', 'USOIL')",2,Standard,GRU,50,Kalman,0.900364251605375,0.9488752560823657,0.8604296486745288,-18.858833451610966,124.02435638973776
"('USM2', 'USOIL')",2,Standard,CNN,50,Kalman,2.486225611016055,1.5767769693320788,1.3728544149353255,-53.83729528828263,188.98175893975088
"('USM2', 'USOIL')",2,Standard,RNN,50,Kalman,3.9536896144870184,1.988388698038444,1.9761402362424854,-86.20433250594525,312.5025376255733
"('USM2', 'USOIL')",2,Standard,ANN,50,Kalman,6.163813473227053,2.482702856410137,2.0486006723544814,-134.95180503152824,403.4076264599294
"('USM2', 'USOIL')",2,Standard,RANDOM_FOREST,N/A,Kalman,0.08524537088943505,0.29196809909549204,0.2620408420121069,-0.8802097262254192,38.3433653127428
"('USM2', 'USOIL')",2,Standard,XGBOOST,N/A,Kalman,0.08522496967189079,0.2919331595963206,0.2620097730569116,-0.8797597479186403,38.34106344687013
"('USPPIYY', 'INDPRO')",2,MinMax,LSTM,50,Kalman,0.029179911101775723,0.17082128410059363,0.16955714948161565,-9.406111738770848,69.56388131215961
"('USPPIYY', 'INDPRO')",2,MinMax,GRU,50,Kalman,0.02309902762189701,0.15198364261293718,0.1516525919925556,-7.237552940172835,61.64752374887449
"('USPPIYY', 'INDPRO')",2,MinMax,CNN,50,Kalman,0.012459867364291282,0.11162377598115593,0.10456348022786685,-3.4434258757967573,44.88001760282465
"('USPPIYY', 'INDPRO')",2,MinMax,RNN,50,Kalman,0.02776801164292435,0.16663736568646406,0.1662585128550628,-8.902601516225195,66.85853394739927
"('USPPIYY', 'INDPRO')",2,MinMax,ANN,50,Kalman,0.02324752644983453,0.15247139551350125,0.14198682430515755,-7.290510448891917,61.35907836337658
"('USPPIYY', 'INDPRO')",2,MinMax,RANDOM_FOREST,N/A,Kalman,0.007261406957469481,0.08521388946333504,0.07686964652317996,-1.5895559419821925,32.63687687328124
"('USPPIYY', 'INDPRO')",2,MinMax,XGBOOST,N/A,Kalman,0.00790855703648203,0.08893006823612601,0.07886123980637516,-1.8203419786658053,34.360619905827434
"('USPPIYY', 'INDPRO')",2,Standard,LSTM,50,Kalman,0.17646887308395973,0.4200819837650262,0.3888716004230959,-2.892275769189267,67.55127134276175
"('USPPIYY', 'INDPRO')",2,Standard,GRU,50,Kalman,0.5846841011184968,0.7646463895935799,0.7610824823476042,-11.89605197586876,129.8064204170795
"('USPPIYY', 'INDPRO')",2,Standard,CNN,50,Kalman,0.2912718203990471,0.5396960444537713,0.5031939219503055,-5.424420516628257,68.76725515880018
"('USPPIYY', 'INDPRO')",2,Standard,RNN,50,Kalman,0.23274925229444465,0.4824409314045033,0.4792947838506657,-4.1336207863217265,76.17329270030521
"('USPPIYY', 'INDPRO')",2,Standard,ANN,50,Kalman,0.11848339112335897,0.34421416461755167,0.31088845059001,-1.613322249195817,43.04373679425713
"('USPPIYY', 'INDPRO')",2,Standard,RANDOM_FOREST,N/A,Kalman,0.11925513795056994,0.3453333721935515,0.31136446967614917,-1.630344239663636,45.9015971994867
"('USPPIYY', 'INDPRO')",2,Standard,XGBOOST,N/A,Kalman,0.12725833365793113,0.3567328603562211,0.3160417620647399,-1.8068662754394338,42.975695502080534
"('USPPIYY', 'UNRATE')",2,MinMax,LSTM,50,Kalman,0.020800973100719985,0.14422542459885493,0.14162214858999464,-6.418022954432049,58.335559772363844
"('USPPIYY', 'UNRATE')",2,MinMax,GRU,50,Kalman,0.02172305917247002,0.14738744577632798,0.14497260682373775,-6.746856399535012,58.995899458607205
"('USPPIYY', 'UNRATE')",2,MinMax,CNN,50,Kalman,0.01967149040375265,0.14025509047358192,0.1287417560160194,-6.015227924979916,55.51515915282297
"('USPPIYY', 'UNRATE')",2,MinMax,RNN,50,Kalman,0.023573665473292992,0.15353717944945125,0.15032938760567696,-7.406817832716532,60.7009836079605
"('USPPIYY', 'UNRATE')",2,MinMax,ANN,50,Kalman,0.008163420499103137,0.09035164912221103,0.08225446113604143,-1.9112311407648597,35.790960155929916
"('USPPIYY', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,Kalman,0.032918667366943107,0.18143502243762946,0.1666084146467422,-10.739423390189613,72.11012465931516
"('USPPIYY', 'UNRATE')",2,MinMax,XGBOOST,N/A,Kalman,0.02201201529587732,0.14836446776731052,0.1299369431175124,-6.849903653424536,57.548657522992706
"('USPPIYY', 'UNRATE')",2,Standard,LSTM,50,Kalman,0.4647242246715126,0.6817068465781406,0.6666652343005215,-9.250163711214931,108.3730854127742
"('USPPIYY', 'UNRATE')",2,Standard,GRU,50,Kalman,0.4264504068597136,0.6530317043296701,0.6369212170794375,-8.405979402334847,102.3574186958772
"('USPPIYY', 'UNRATE')",2,Standard,CNN,50,Kalman,0.43687204612377273,0.6609629687991398,0.5975070331576591,-8.63584370233199,82.20574205413793
"('USPPIYY', 'UNRATE')",2,Standard,RNN,50,Kalman,0.49369036785483217,0.7026310325162362,0.6859543439676301,-9.88905381839922,104.20363444702136
"('USPPIYY', 'UNRATE')",2,Standard,ANN,50,Kalman,0.42604354520356774,0.6527201124552298,0.6193918550408039,-8.397005481110364,92.23774111962736
"('USPPIYY', 'UNRATE')",2,Standard,RANDOM_FOREST,N/A,Kalman,0.5372741356252744,0.7329898605200992,0.6815994964619833,-10.850356739748719,95.99637050304838
"('USPPIYY', 'UNRATE')",2,Standard,XGBOOST,N/A,Kalman,0.3565084984203479,0.5970833261952203,0.5229742875919496,-6.8633096345063,67.92180731717447
