leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,data_type,mse,rmse,mae,r2,mape
"('USM2', 'INDPRO')",2,Standard,ANN,50,NONE,RAW,1.1372382693055327,1.0664137420839683,0.6673342187299454,-0.9989270549182527,900.2355204940462
"('USM2', 'INDPRO')",2,Standard,RANDOM_FOREST,N/A,NONE,RAW,1.0864807085518928,1.0423438533189961,0.8745458361738733,-0.9097103409097929,573.3786053554381
"('USM2', 'INDPRO')",2,Standard,XGBOOST,N/A,NONE,RAW,0.9183953544214086,0.95832946027001,0.7315151728480392,-0.6142662189738359,152.0231502182676
"('USM2', 'UNRATE')",2,MinMax,LSTM,50,NONE,RAW,0.09898125213253392,0.3146128607233562,0.23471897373162018,-5.028971191813451,73.15624784751378
"('USM2', 'UNRATE')",2,MinMax,GRU,50,NONE,RAW,0.15277804149718485,0.39086831733613925,0.2932209510070127,-8.305746200248915,91.20422972820963
"('USM2', 'UNRATE')",2,MinMax,CNN,50,NONE,RAW,0.054114669502220006,0.2326255994129193,0.20525574731659973,-2.296137161879306,86.45515709750026
"('USM2', 'UNRATE')",2,MinMax,RNN,50,NONE,RAW,0.2568394383611714,0.5067932895778824,0.4128752970058468,-14.644150194500149,139.40712488272857
"('USM2', 'UNRATE')",2,MinMax,ANN,50,NONE,RAW,0.013165368352828145,0.11474043904756573,0.09778264688595936,0.19809433787992814,42.70494302381246
"('USM2', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.02239558825927044,0.1496515561538551,0.1003867971154024,-0.3641205130246765,35.34034567333051
"('USM2', 'UNRATE')",2,MinMax,XGBOOST,N/A,NONE,RAW,0.020180825784581892,0.14205923336616277,0.10299281926045702,-0.2292188132691746,38.63762769504778
"('USM2', 'UNRATE')",2,Standard,LSTM,50,NONE,RAW,1.0139388068429434,1.0069452849300915,0.7024407909720386,-0.7822032266532624,806.6790570183684
"('USM2', 'UNRATE')",2,Standard,GRU,50,NONE,RAW,2.326856737130446,1.5254037947804004,1.0683879445430189,-3.0899229390241807,1439.248805358694
"('USM2', 'UNRATE')",2,Standard,CNN,50,NONE,RAW,5.94782989586374,2.4388173149835843,1.9348847841483423,-9.45451812323724,2516.014697183717
"('USM2', 'UNRATE')",2,Standard,RNN,50,NONE,RAW,0.7942193847540802,0.8911898702039203,0.6168479666733367,-0.39600175141392113,378.5993253072962
"('USM2', 'UNRATE')",2,Standard,ANN,50,NONE,RAW,2.0209999365713402,1.421618773290273,1.0085727242140785,-2.552317539988777,770.9172971367485
"('USM2', 'UNRATE')",2,Standard,RANDOM_FOREST,N/A,NONE,RAW,0.7608974430027898,0.8722943557095791,0.5834363696456147,-0.33743167627061865,214.10554173000835
"('USM2', 'UNRATE')",2,Standard,XGBOOST,N/A,NONE,RAW,0.697421592298157,0.8351177116419919,0.6074287958507848,-0.22585998656224704,291.3207341271435
"('USM2', 'USOIL')",2,MinMax,LSTM,50,NONE,RAW,0.2953799462912715,0.5434886809228611,0.44523407301298074,-16.991661536519814,153.1778722469037
"('USM2', 'USOIL')",2,MinMax,GRU,50,NONE,RAW,0.42957922884018535,0.655422938902954,0.5714554397934163,-25.165771188780912,207.72528228030035
"('USM2', 'USOIL')",2,MinMax,CNN,50,NONE,RAW,0.02821777759219383,0.16798147990833345,0.12283877373197608,-0.7187514254976575,38.055421094296925
"('USM2', 'USOIL')",2,MinMax,RNN,50,NONE,RAW,0.23838308002725722,0.4882448975946981,0.45436340882544723,-13.51996909652856,181.601423544563
"('USM2', 'USOIL')",2,MinMax,ANN,50,NONE,RAW,0.037497342485716366,0.1936423055164247,0.14437330260835082,-1.2839718910935054,48.89600593007607
"('USM2', 'USOIL')",2,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.011605453084781189,0.10772860847881212,0.07677903567306177,0.2931091412907031,25.935621241665203
"('USM2', 'USOIL')",2,MinMax,XGBOOST,N/A,NONE,RAW,0.014196891439311096,0.11915070893331309,0.09329077856235579,0.13526402569344398,36.02460878858489
"('USM2', 'USOIL')",2,Standard,LSTM,50,NONE,RAW,1.1447669669505698,1.069937833217692,0.7802621418542875,-1.01216026893958,808.9620721021876
"('USM2', 'USOIL')",2,Standard,GRU,50,NONE,RAW,1.001816321719647,1.000907748855831,0.7053243737419932,-0.7608954988535297,703.3062619104318
