leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,business_cycle_range,leads_lags,mse,rmse,mae,r2,mape
"('USM2', 'UNRATE')",2,Standard,LSTM,50,Baxter_King,6-32Q,12,1.8279377355200443,1.3520124760962986,0.9210025965379032,-0.7262658006786018,705.5524256360625
"('USM2', 'UNRATE')",2,Standard,GRU,50,Baxter_King,6-32Q,12,2.008811418702787,1.417325445585024,1.0255747870561922,-0.8970790879442725,802.7362700905516
"('USM2', 'UNRATE')",2,Standard,CNN,50,Baxter_King,6-32Q,12,12.45934673797127,3.5297799843575617,2.169767197455358,-10.766343981315796,1117.8535780936538
"('USM2', 'UNRATE')",2,Standard,RNN,50,Baxter_King,6-32Q,12,1.7905966370469457,1.3381317711821006,1.0364020608368487,-0.6910016557346585,620.4249158181574
"('USM2', 'UNRATE')",2,Standard,ANN,50,Baxter_King,6-32Q,12,20.96869598556233,4.579158873151523,2.8019764064133095,-18.802393736570476,944.4548232081473
"('USM2', 'UNRATE')",2,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,2.5288261277933275,1.5902283256794691,1.1657293459561706,-1.38816999914396,677.9239950656593
"('USM2', 'UNRATE')",2,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,2.168867641694162,1.4727075886591208,1.1269806487008345,-1.0482328053640795,787.6961969592257
"('USM2', 'USOIL')",2,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.011106102257304212,0.10538549358096783,0.07802079881140384,0.10950362824359416,16.83525467406019
"('USM2', 'USOIL')",2,MinMax,GRU,50,Baxter_King,6-32Q,12,0.0077900138571713575,0.0882610551555518,0.06868641079542573,0.3753903111074872,15.534277401695457
"('USM2', 'USOIL')",2,MinMax,CNN,50,Baxter_King,6-32Q,12,0.019738479903563817,0.14049370058320698,0.11087126049205406,-0.5826474789164053,24.925197785879575
"('USM2', 'USOIL')",2,MinMax,RNN,50,Baxter_King,6-32Q,12,0.031205693662097928,0.17665133359841337,0.11306782530596118,-1.502098066489908,24.084786204783164
"('USM2', 'USOIL')",2,MinMax,ANN,50,Baxter_King,6-32Q,12,0.008676861637925266,0.09314967331088857,0.07267452236384436,0.3042821299684034,18.121827269897672
"('USM2', 'USOIL')",2,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.009141014337786874,0.09560865200277051,0.07596639198289941,0.2670659864833327,15.922403330863174
"('USM2', 'USOIL')",2,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.01164481904582088,0.10791116274890601,0.07879793078295116,0.06630887508319971,16.576434084992208
